BP NUMBER,METER NUMBER,METER TYPE,METER READING,REMARKS,METER MONTH,METER MONTH(NAME),Festival
1000023404,A-0510360/C4593,ACTARIS,1404,,10,OCT,HOLI
1000023405,AL-0510363/C4593,ACTARIS,746,,10,OCT,Dussehra
1000023411,AL-0506596/C4593,ACTARIS,4428,,10,OCT,Dussehra
1000023421,AL-0510468/C4593,ACTARIS,1254,,10,OCT,Dussehra
1000023424,AL-0510397/C4593,ACTARIS,2118,,10,OCT,Dussehra
1000023427,AL-0510502/C4593,ACTARIS,2925,,10,OCT,Dussehra
1000023582,AL-0507260/C4593,ACTARIS,1470,,10,OCT,Dussehra
1000023585,3083122,ACTARIS,609,,10,OCT,Dussehra
1000023586,AL-0505819/C4593,ACTARIS,1608,,10,OCT,Dussehra
1000023587,AL-0508131/C4593,ACTARIS,2207,,10,OCT,Dussehra
1000023588,AL-0506724/C4593,ACTARIS,nan,,10,OCT,Dussehra
1000023595,AL-0507117/C4593,ACTARIS,1677,,10,OCT,Dussehra
1000023596,AL-0507124/C4593,ACTARIS,2040,,10,OCT,Dussehra
1000023597,AL-0507137/C4593,ACTARIS,1175,DIGIT NOT CLEAR,10,OCT,Dussehra
1000023600,AL-0507143/C4593,ACTARIS,1948,,10,OCT,Dussehra
1000023602,AL-0507214/C4593,ACTARIS,1183,,10,OCT,Dussehra
1000023607,AL-0507221/C4593,ACTARIS,1960,,10,OCT,Dussehra
1000023609,AL-0507113/C4593,ACTARIS,1477,,10,OCT,Dussehra
1000023610,AL-0506720/C4593,ACTARIS,1635,,10,OCT,Dussehra
1000023611,AL-0506749/C4593,ACTARIS,2048,,10,OCT,Dussehra
1000023612,AL-0506734/C4593,ACTARIS,2365,,10,OCT,Dussehra
1000023614,AL-0507153/C4593,ACTARIS,1568,,10,OCT,Dussehra
1000023617,AL-0507211/C4593,ACTARIS,1776,,10,OCT,Dussehra
1000023619,AL-0506733/C4593,ACTARIS,2202,,10,OCT,Dussehra
1000023620,AL-0506755/C4593,ACTARIS,1436,,10,OCT,Dussehra
1000023622,AL-0507185/C4593,ACTARIS,2263,,10,OCT,Dussehra
1000023624,AL-0507195/C4593,ACTARIS,937,,10,OCT,Dussehra
1000023627,AL-0507190/C4593,ACTARIS,1711,,10,OCT,Dussehra
1000023630,AL-0507233/C4593,ACTARIS,1492,,10,OCT,Dussehra
1000023631,AL-0507126/C4593,ACTARIS,2367,,10,OCT,Dussehra
1000023634,AL-0507198/C4593,ACTARIS,1182,,10,OCT,Dussehra
1000023635,AL-0507169/C4593,ACTARIS,2721,,10,OCT,Dussehra
1000023637,AL-0507134/C4593,ACTARIS,2066,,10,OCT,Dussehra
1000023638,3100571,ACTARIS,1640,,10,OCT,Dussehra
1000034958,AL-0509970/C4593,ACTARIS,1871,,10,OCT,Dussehra
1000040409,,SCHLUMBERGER,2670,IMAGE NOT READABLE,10,OCT,Dussehra
1000040410,,SCHLUMBERGER,1182,,10,OCT,Dussehra
1000040415,3621631,ACTARIS,1633,,10,OCT,Dussehra
1000040416,3253211,ACTARIS,4230,,10,OCT,Dussehra
1000040417,306012,SCHLUMBERGER,3776,,10,OCT,Dussehra
1000040422,IL40806626,INVENSYS,2075,,10,OCT,Dussehra
1000040493,1864731,AEM,1388,,10,OCT,Dussehra
1000040498,3-266230-1,ITRON,629,,10,OCT,Dussehra
1000040499,203408,SCHLUMBERGER,2667,,10,OCT,Dussehra
1000040500,16504799,RAYCHEM,624,,10,OCT,Dussehra
1000040506,160700181,ITRON,760,,10,OCT,Dussehra
1000040512,17920451,RAYCHEM,500,,10,OCT,Dussehra
1000040551,,SCHLUMBERGER,2936,,10,OCT,Dussehra
1000040552,15478540,RAYCHEM,1717,,10,OCT,Dussehra
1000040692,1589071,AEM,1889,,10,OCT,Dussehra
1000040693,3-031503-2,ITRON,2559,,10,OCT,Dussehra
1000040694,3-0306414-2,ITRON,873,,10,OCT,Dussehra
1000040695,15478460,RAYCHEM,807,,10,OCT,Dussehra
1000040697,3-030963-02,ITRON,2735,,10,OCT,Dussehra
1000040698,3-031498-2,ITRON,3217,,10,OCT,Dussehra
1000040704,15481099,RAYCHEM,2870,,10,OCT,Dussehra
1000040705,1551841,AEM,1806,,10,OCT,Dussehra
1000040706,3-031502-2,ITRON,652,,10,OCT,Dussehra
1000040779,15476994,RAYCHEM,1920,,10,OCT,Dussehra
1000040791,3-031489-2,ITRON,1455,,10,OCT,Dussehra
1000040794,3209421,ACTARIS,1213,,10,OCT,Dussehra
1000040795,3209431,ACTARIS,2223,,10,OCT,Dussehra
1000040911,14538442,RAYCHEM,1758,,10,OCT,Dussehra
1000040927,15477384,RAYCHEM,2337,,10,OCT,Dussehra
1000048400,AL-0507139/C4593,ACTARIS,1064,,10,OCT,Dussehra
1000048401,AL-0507193/C4593,ACTARIS,1428,,10,OCT,Dussehra
1000048406,AL-0507125/C4593,ACTARIS,2813,,10,OCT,Dussehra
1000048407,AL-0507243/C4593,ACTARIS,2654,,10,OCT,Dussehra
1000048408,AL-0507238/C4593,ACTARIS,1190,,10,OCT,Dussehra
1000048865,IL50037087,SENSUS,2651,,10,OCT,Dussehra
1000049238,3621651,ACTARIS,5514,,10,OCT,Dussehra
1000049320,AL-0502191/C4593,ACTARIS,1460,,10,OCT,Dussehra
1000049321,AL-0507159/C4593,ACTARIS,2278,,10,OCT,Dussehra
1000049322,AL-0506812/C4593,ACTARIS,2672,,10,OCT,Dussehra
1000049927,IL50032994,SENSUS,2100,,10,OCT,Dussehra
1000053906,AL-0507188/C4593,ACTARIS,1213,,10,OCT,Dussehra
1000053907,AL-0506764/C4593,ACTARIS,3681,,10,OCT,Dussehra
1000053908,AL-0506737/C4593,ACTARIS,2111,,10,OCT,Dussehra
1000053912,AL-0506767/C4593,ACTARIS,591,,10,OCT,Dussehra
1000053916,AL-0506743/C4593,ACTARIS,2404,,10,OCT,Dussehra
1000053919,AL-0506714/C4593,ACTARIS,2454,,10,OCT,Dussehra
1000053921,AL-0508114/C4593,ACTARIS,1807,,10,OCT,Dussehra
1000053924,AL-05068320/C4593,ACTARIS,2622,,10,OCT,Dussehra
1000053929,AL-0506746/C4593,ACTARIS,1821,,10,OCT,Dussehra
1000053930,AL-0506815/C4593,ACTARIS,1429,,10,OCT,Dussehra
1000053933,AL-0506799/C4593,ACTARIS,3058,,10,OCT,Dussehra
1000053934,AL-0507177/C4593,ACTARIS,2716,,10,OCT,Dussehra
1000053935,AL-0506700/C4593,ACTARIS,2604,,10,OCT,Dussehra
1000053936,AL-0506711/C4593,ACTARIS,2124,,10,OCT,Dussehra
1000053942,AL-0509792/C4593,ACTARIS,1948,,10,OCT,Dussehra
1000053945,AL-0506828/C4593,ACTARIS,2323,,10,OCT,Dussehra
1000056203,,SCHLUMBERGER,1537,,10,OCT,Dussehra
1000056590,AR0553246/C4593,ACTARIS,1856,,10,OCT,Dussehra
1000056591,AL-0507115/C4593,ACTARIS,2481,,10,OCT,Dussehra
1000056597,AL-0507184/C4593,ACTARIS,3126,,10,OCT,Dussehra
1000056598,AR0551862/C4593,ACTARIS,1456,,10,OCT,Dussehra
1000056601,AR0551632/C4593,ACTARIS,2744,,10,OCT,Dussehra
1000056603,AL-0506732/C4593,ACTARIS,2946,,10,OCT,Dussehra
1000056604,16497758,RAYCHEM,498,,10,OCT,Dussehra
1000056607,AL-0506760/C4593,ACTARIS,4728,,10,OCT,Dussehra
1000056608,AR0551953/C4593,ACTARIS,1718,,10,OCT,Dussehra
1000056610,AL-0506783/C4593,ACTARIS,1896,,10,OCT,Dussehra
1000056611,AL-0506727/C4593,ACTARIS,4884,,10,OCT,Dussehra
1000056622,AR0551941/C4593,ACTARIS,66,,10,OCT,Dussehra
1000056624,AR0553070/C4593,ACTARIS,1888,,10,OCT,Dussehra
1000056625,AL-0507174/C4593,ACTARIS,2271,,10,OCT,Dussehra
1000056628,AL-0506708/C4593,ACTARIS,3961,,10,OCT,Dussehra
1000056629,AL-0507213/C4593,ACTARIS,2024,,10,OCT,Dussehra
1000056630,AL-0506829/C4593,ACTARIS,2475,,10,OCT,Dussehra
1000056632,AL-0507239/C4593,ACTARIS,1851,,10,OCT,Dussehra
1000056633,30183552,ITRON,1478,,10,OCT,Dussehra
1000056634,AR0551522/C4593,ACTARIS,1153,,10,OCT,Dussehra
1000056635,AL-0507232/C4593,ACTARIS,1628,,10,OCT,Dussehra
1000056636,AL-0507133/C4593,ACTARIS,1329,,10,OCT,Dussehra
1000056637,AL-0506716/C4593,ACTARIS,1532,,10,OCT,Dussehra
1000056638,AL-0507142/C4593,ACTARIS,1893,,10,OCT,Dussehra
1000056641,AR0553180/C4593,ACTARIS,1503,,10,OCT,Dussehra
1000056642,3003852,ACTARIS,1703,,10,OCT,Dussehra
1000056643,AR0552075/C4593,ACTARIS,552,,10,OCT,Dussehra
1000056645,AL-0506818/C4593,ACTARIS,1579,,10,OCT,Dussehra
1000056648,AL-0506773/C4593,ACTARIS,2141,,10,OCT,Dussehra
1000056649,AL-0506717/C4593,ACTARIS,1849,,10,OCT,Dussehra
1000056650,AL-0507127/C4593,ACTARIS,1947,,10,OCT,Dussehra
1000056651,1125221,AEM,2851,IMAGE NOT READABLE,10,OCT,Dussehra
1000056662,AL-0507229/C4593,ACTARIS,2702,,10,OCT,Dussehra
1000056664,AL-0507175/C4593,ACTARIS,1260,,10,OCT,Dussehra
1000056666,AR0553122/C4593,ACTARIS,2256,,10,OCT,Dussehra
1000056667,AR0553198/C4593,ACTARIS,1077,,10,OCT,Dussehra
1000056668,AL-0506795/C4593,ACTARIS,1485,,10,OCT,Dussehra
1000056670,3894631,ITRON,1702,,10,OCT,Dussehra
1000056671,AL-0506715/C4593,ACTARIS,15,DIGIT NOT CLEAR,10,OCT,Dussehra
1000056675,AL-0507111/C4593,ACTARIS,1220,,10,OCT,Dussehra
1000056676,AL-0506709/C4593,ACTARIS,1702,,10,OCT,Dussehra
1000056678,AL-0507166/C4593,ACTARIS,3074,,10,OCT,Dussehra
1000056679,AR0551877/C4593,ACTARIS,1826,,10,OCT,Dussehra
1000056681,AL-0507176/C4593,ACTARIS,1562,,10,OCT,Dussehra
1000056684,AL-0506771/C4593,ACTARIS,3082,,10,OCT,Dussehra
1000056691,AL-0507247/C4593,ACTARIS,819,,10,OCT,Dussehra
1000056696,AL-0507246/C4593,ACTARIS,2190,,10,OCT,Dussehra
1000056697,AL-0507208/C4593,ACTARIS,1379,,10,OCT,Dussehra
1000056698,AL-0506739/C4593,ACTARIS,1439,,10,OCT,Dussehra
1000056700,AR0552008/C4593,ACTARIS,1294,,10,OCT,Dussehra
1000056701,AR0551836/C4593,ACTARIS,2756,,10,OCT,Dussehra
1000056702,AL-0506692/C4593,ACTARIS,2502,,10,OCT,Dussehra
1000056704,AR0553146/C4593,ACTARIS,796,,10,OCT,Dussehra
1000056705,3047571,ACTARIS,1373,,10,OCT,Dussehra
1000056706,AR0551866/C4593,ACTARIS,4025,,10,OCT,Dussehra
1000056710,AL-0507110/C4593,ACTARIS,3334,,10,OCT,Dussehra
1000056713,17619492,RAYCHEM,699,,10,OCT,Dussehra
1000056714,AL-0506713/C4593,ACTARIS,2136,,10,OCT,Dussehra
1000056718,AL-0506752/C4593,ACTARIS,2370,,10,OCT,Dussehra
1000056797,11403721,AEM,573,,10,OCT,Dussehra
1000056920,AL-0507513/C4593,ACTARIS,944,,10,OCT,Dussehra
1000056986,AL-0506802/C4593,ACTARIS,1692,,10,OCT,Dussehra
1000057150,AL-0518053/C-4792,ACTARIS,2668,DIGIT NOT CLEAR,10,OCT,Dussehra
1000057780,AR0550583/C4593,ACTARIS,3063,,10,OCT,Dussehra
1000058028,AL-0510396/C4593,ACTARIS,1678,,10,OCT,Dussehra
1000058071,AL-0509674/C4593,ACTARIS,1781,,10,OCT,Dussehra
1000058103,AL-0510523/C4593,ACTARIS,2703,,10,OCT,Dussehra
1000058804,AL-0507888/C4593,ACTARIS,1605,,10,OCT,Dussehra
1000058837,AR0553743/C4593,ACTARIS,5094,,10,OCT,Dussehra
1000058858,1010871,AEM,3084,,10,OCT,Dussehra
1000058868,1002141,AEM,4633,,10,OCT,Dussehra
1000058871,1009931,AEM,1809,,10,OCT,Dussehra
1000058874,1099151,AEM,4351,,10,OCT,Dussehra
1000058902,1010751,AEM,2453,,10,OCT,Dussehra
1000058903,1010391,AEM,722,,10,OCT,Dussehra
1000058927,AL-0510577/C4593,ACTARIS,871,,10,OCT,Dussehra
1000058936,3071981,ACTARIS,2033,,10,OCT,Dussehra
1000058969,1072531,AEM,2319,,10,OCT,Dussehra
1000058977,AL-0502815/C4593,ACTARIS,1052,,10,OCT,Dussehra
1000058984,AL-0502343/C4593,ACTARIS,1997,,10,OCT,Dussehra
1000059530,AL-0502464/C4593,ACTARIS,1394,,10,OCT,Dussehra
1000059538,AL-0502439/C4593,ACTARIS,1816,,10,OCT,Dussehra
1000059564,AL-0509750/C4593,ACTARIS,2906,,10,OCT,Dussehra
1000060077,1079141,AEM,2887,,10,OCT,Dussehra
1000060205,3039481,ACTARIS,2851,,10,OCT,Dussehra
1000060212,30351,ACTARIS,6025,,10,OCT,Dussehra
1000060372,1071521,AEM,4310,,10,OCT,Dussehra
1000060382,1071211,AEM,5120,,10,OCT,Dussehra
1000060383,1073791,AEM,2021,,10,OCT,Dussehra
1000060400,1078841,AEM,3361,,10,OCT,Dussehra
1000060407,1014451,AEM,6165,,10,OCT,Dussehra
1000061122,1000711,AEM,2534,,10,OCT,Dussehra
1000064013,1118721,AEM,527,,10,OCT,Dussehra
1000064016,3047581,ACTARIS,3169,,10,OCT,Dussehra
1000064017,1119641,AEM,1951,,10,OCT,Dussehra
1000064018,1115611,AEM,2020,,10,OCT,Dussehra
1000064024,AR0551567/C4793,ACTARIS,2766,,10,OCT,Dussehra
1000064025,AR0551576/C4593,ACTARIS,218,,10,OCT,Dussehra
1000064026,AR0551639/C4593,ACTARIS,3619,,10,OCT,Dussehra
1000064028,1117361,AEM,3824,,10,OCT,Dussehra
1000064030,AR0551913/C4593,ACTARIS,1862,,10,OCT,Dussehra
1000064033,AR0551509/C4593,ACTARIS,510,,10,OCT,Dussehra
1000064034,AR0552153/C4593,ACTARIS,1676,,10,OCT,Dussehra
1000064035,AR0551921/C4593,ACTARIS,4563,,10,OCT,Dussehra
1000064036,AR0551881/C4593,ACTARIS,967,,10,OCT,Dussehra
1000064037,AL-0618030/C-4792,ACTARIS,1434,,10,OCT,Dussehra
1000064038,AR0553083/C4593,ACTARIS,1460,,10,OCT,Dussehra
1000064042,AR0552182/C4593,ACTARIS,1807,,10,OCT,Dussehra
1000064043,AL-0618011/C-4792,ACTARIS,4838,,10,OCT,Dussehra
1000064046,AR0551954/C4593,ACTARIS,3716,,10,OCT,Dussehra
1000064047,AR0552042/C4593,ACTARIS,189,,10,OCT,Dussehra
1000064048,AR0551792/C4593,ACTARIS,2069,DIGIT NOT CLEAR,10,OCT,Dussehra
1000064049,AL-0618058/C-4792,ACTARIS,1689,,10,OCT,Dussehra
1000064052,AR0552753/C4593,ACTARIS,2355,DIGIT NOT CLEAR,10,OCT,Dussehra
1000064053,AR0551871/C4593,ACTARIS,2032,,10,OCT,Dussehra
1000064055,3166821,ACTARIS,1803,,10,OCT,Dussehra
1000064056,AR0551566/C4593,ACTARIS,1520,,10,OCT,Dussehra
1000064059,3056821,ACTARIS,2244,,10,OCT,Dussehra
1000064060,1068731,AEM,1609,,10,OCT,Dussehra
1000064064,1119681,AEM,2661,,10,OCT,Dussehra
1000064067,AR0551912/C4593,ACTARIS,2666,,10,OCT,Dussehra
